SIM,PCA_components,kernel,C,gamma,acc_train,f1_train,prec_train,rec_train,acc_val,f1_val,prec_val,rec_val,acc_test,f1_test,prec_test,rec_test
67,no_pca,poly,0.001,auto,0.6029031616623584,0.3772996570003118,0.942367601246106,0.23586744639376217,0.7668393782383419,0.08163265306122448,0.15384615384615385,0.05555555555555555,0.7586206896551724,0.5757575757575758,0.6909090909090909,0.4935064935064935
68,no_pca,poly,0.001,0.001,0.6029031616623584,0.3772996570003118,0.942367601246106,0.23586744639376217,0.7668393782383419,0.08163265306122448,0.15384615384615385,0.05555555555555555,0.7586206896551724,0.5757575757575758,0.6909090909090909,0.4935064935064935
69,no_pca,poly,0.001,0.01,0.6029031616623584,0.3772996570003118,0.942367601246106,0.23586744639376217,0.7668393782383419,0.08163265306122448,0.15384615384615385,0.05555555555555555,0.7586206896551724,0.5757575757575758,0.6909090909090909,0.4935064935064935
70,no_pca,poly,0.001,0.1,0.6029031616623584,0.3772996570003118,0.942367601246106,0.23586744639376217,0.7668393782383419,0.08163265306122448,0.15384615384615385,0.05555555555555555,0.7586206896551724,0.5757575757575758,0.6909090909090909,0.4935064935064935
71,no_pca,poly,0.001,1,0.6029031616623584,0.3772996570003118,0.942367601246106,0.23586744639376217,0.7668393782383419,0.08163265306122448,0.15384615384615385,0.05555555555555555,0.7586206896551724,0.5757575757575758,0.6909090909090909,0.4935064935064935
72,no_pca,linear,20.0,scale,0.7633724398488765,0.7558473533032417,0.797747942832395,0.7181286549707603,0.6735751295336787,0.3368421052631579,0.2711864406779661,0.4444444444444444,0.75,0.6979166666666666,0.5826086956521739,0.8701298701298701
73,no_pca,linear,20.0,auto,0.7633724398488765,0.7558473533032417,0.797747942832395,0.7181286549707603,0.6735751295336787,0.3368421052631579,0.2711864406779661,0.4444444444444444,0.75,0.6979166666666666,0.5826086956521739,0.8701298701298701
74,no_pca,linear,20.0,0.001,0.7633724398488765,0.7558473533032417,0.797747942832395,0.7181286549707603,0.6735751295336787,0.3368421052631579,0.2711864406779661,0.4444444444444444,0.75,0.6979166666666666,0.5826086956521739,0.8701298701298701
75,no_pca,linear,20.0,0.01,0.7633724398488765,0.7558473533032417,0.797747942832395,0.7181286549707603,0.6735751295336787,0.3368421052631579,0.2711864406779661,0.4444444444444444,0.75,0.6979166666666666,0.5826086956521739,0.8701298701298701
76,no_pca,linear,20.0,0.1,0.7633724398488765,0.7558473533032417,0.797747942832395,0.7181286549707603,0.6735751295336787,0.3368421052631579,0.2711864406779661,0.4444444444444444,0.75,0.6979166666666666,0.5826086956521739,0.8701298701298701
