Flow_ID,Duration_s,Total_Packets,Bytes_AB,Bytes_BA,Mean_Pkt_Len,STD_IAT,Kurtosis_IAT,Skewness_Pkt_Len,Direction_Ratio,Label
2433594797508103,45.127204,4,132,132,66.000000,21.218047,0.000000,,0.500000,9
1519023743487502,0.039502,2,66,66,66.000000,0.000000,0.000000,0.000000,0.500000,9
643967857739541,32.419220,73,3686,2820,89.123288,2.321646,64.633208,5.291964,0.520548,9
4556957921522521,42.183407,21,3532,5258,418.571429,4.033084,2.001725,0.196759,0.571429,9
7105153773204996,4.578436,12,413,1213,135.500000,1.234495,6.091564,3.014240,0.500000,9
5770604912221539,0.068093,5,1886,2192,815.600000,0.024424,-0.733919,0.565205,0.600000,9
7994158877926040,0.093088,2,95,360,227.500000,0.000000,0.000000,0.000000,0.500000,9
8760043942083619,0.093440,2,95,360,227.500000,0.000000,0.000000,0.000000,0.500000,9
9835216189156755,0.089961,2,95,312,203.500000,0.000000,0.000000,0.000000,0.500000,9
7855172350937645,21.975588,14,2514,876,242.142857,3.187165,1.114681,1.830673,0.571429,9
1190380835653834,0.197119,2,73,274,173.500000,0.000000,0.000000,0.000000,0.500000,9
6568910078127542,0.022070,2,66,66,66.000000,0.000000,0.000000,0.000000,0.500000,9
1903856204495487,0.021171,2,66,66,66.000000,0.000000,0.000000,0.000000,0.500000,9
6510836241564978,0.120080,7,1261,442,243.285714,0.027976,-1.499943,1.832512,0.571429,9
951399457697745,0.420938,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
6545414158886789,0.420461,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
1181999510540224,0.414534,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
6415795331017334,0.414050,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
7553581416226760,0.000000,1,60,0,60.000000,0.000000,0.000000,0.000000,1.000000,4
9744474607869805,0.420528,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
808541335040986,0.420077,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
5956743888212133,0.420960,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
7956981634859839,0.420617,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
4391928939221121,0.419977,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
4782409933294075,0.419895,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
3511886830172123,0.421328,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
4881061662205740,0.420854,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
7523154201649881,0.420740,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2137379296201795,0.420297,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
5187534936413450,0.419628,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
7327132055940123,0.420792,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
1290234668574454,0.420387,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
8298721626648844,0.420985,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2588065034259709,0.420667,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
3551135552932239,685.816486,430,39560,0,92.000000,3.191945,21.313805,,1.000000,4
1184016663326100,600.349226,6,168,180,58.000000,146.984412,-1.833332,-0.707107,0.500000,4
686260829544218,675.528761,355,14668,25446,112.997183,4.461813,17.063228,2.649724,0.495775,4
9115136906659280,660.045354,46,2944,1380,94.000000,14.939952,-1.998023,0.000000,0.500000,4
5569324614350002,660.043966,47,3109,1380,95.510638,14.911962,-1.992356,0.046201,0.510638,4
272794371475837,660.181834,1124,76212,83737,142.303381,4.084997,47.233261,0.166635,0.500000,4
3149654558674215,164.838857,4,256,0,64.000000,77.110536,0.000000,,1.000000,4
8495589673569453,0.424165,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
1892374345727141,0.423721,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
5438786546525522,0.420941,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
